ID_REF	pre_2_VALUE
222320_at	15.7
222319_at	59.6
222318_at	117
222317_at	58
222316_at	96.4
222315_at	55.7
222314_x_at	8.6
222313_at	2.5
222312_s_at	63
222311_s_at	100.6
222310_at	50.5
222309_at	22.1
222308_x_at	2.3
222307_at	128.3
222306_at	95.9
222305_at	35.9
222304_x_at	34
222303_at	144.9
222302_at	60.5
222301_at	108.3
222300_at	67.4
222299_x_at	6.1
222298_at	3.8
222297_x_at	209.6
222296_at	8.9
222295_x_at	15.1
222294_s_at	173
222293_at	37.9
222292_at	50
222291_at	9.7
222290_at	69.9
222289_at	11.1
222288_at	5.6
222287_at	1.3
222286_at	81.2
222285_at	37
222284_at	6.3
222283_at	61.5
222282_at	203.7
222281_s_at	89.8
222280_at	308.6
222279_at	64.2
222278_at	52.7
222277_at	56.2
222276_at	15
222275_at	129.4
222274_at	3.7
222273_at	77
222272_x_at	26
222271_at	62.5
222270_at	13.4
222269_at	48.4
222268_x_at	19.3
222267_at	6.1
222266_at	135.9
222265_at	32.5
222264_at	99.7
222263_at	78.7
222262_s_at	49
222261_at	11
222260_at	16.4
222259_s_at	46.3
222258_s_at	41.3
222257_s_at	14
222256_s_at	53.4
222255_at	44.6
222254_at	4.4
222253_s_at	62.9
222252_x_at	230.5
222251_s_at	128.2
222250_s_at	23.3
222249_at	22.3
222248_s_at	5.2
222247_at	62
222246_at	6.3
222245_s_at	56.3
222244_s_at	507
222243_s_at	114.1
222242_s_at	19.4
222241_at	16.3
222240_s_at	17.4
222239_s_at	8.7
222238_s_at	74.5
222237_s_at	8.6
222236_s_at	112.8
222235_s_at	40.3
222234_s_at	7.5
222233_s_at	33.8
222231_s_at	262.7
222230_s_at	135.7
222229_x_at	226.7
222228_s_at	70.3
222227_at	9
222226_at	11.4
222225_at	105.3
222224_at	50.6
222223_s_at	38.9
222222_s_at	15
222221_x_at	37.3
222220_s_at	11.8
222219_s_at	42
222218_s_at	673.2
222217_s_at	27.6
222216_s_at	21.3
222215_at	59.8
222214_at	71.8
222213_x_at	6.7
222212_s_at	408.7
222211_x_at	25.9
222210_at	4.1
222209_s_at	19.9
222208_s_at	92.9
222207_x_at	274.3
222206_s_at	5.4
222205_x_at	72.2
222204_s_at	7
222203_s_at	27.6
222202_at	27.8
222201_s_at	9.4
222200_s_at	112.5
222199_s_at	129.1
222198_at	6.4
222197_s_at	12
222196_at	14.8
222195_s_at	25.7
222194_at	15
222193_at	109.6
222192_s_at	73.7
222191_s_at	18.7
222190_s_at	4.2
222189_at	31
222188_at	92
222187_x_at	251.7
222186_at	3.5
222185_at	192.9
222184_at	21.2
222183_x_at	89.8
222182_s_at	89.8
222181_at	3.1
222180_at	47.7
222179_at	11.4
222178_s_at	4.6
222177_s_at	48.8
222176_at	58.6
222175_s_at	172.7
222174_at	8.9
222173_s_at	7.3
222172_at	9.1
222171_s_at	6.6
222170_at	8.9
222169_x_at	164.4
222168_at	14.6
222167_at	24.6
222166_at	48.5
222165_x_at	17.8
222164_at	6.6
222163_s_at	107.6
222162_s_at	7.7
222161_at	10.2
222160_at	123.7
222159_at	122.1
222158_s_at	81.7
222157_s_at	65
222156_x_at	55.3
222155_s_at	29.1
222154_s_at	74
222153_at	28.5
222152_at	123.9
222151_s_at	81.1
222150_s_at	78
222149_x_at	42
222148_s_at	179.3
222147_s_at	61.6
222146_s_at	77.1
222145_at	22.6
222144_at	120.5
222143_s_at	274
222142_at	20.1
222141_at	63
222140_s_at	39.9
222139_at	173.5
222138_s_at	148.2
222137_at	39.2
222136_x_at	77.9
222135_at	24.2
222134_at	22.8
222133_s_at	212.8
222132_s_at	27.1
222131_x_at	20.8
222130_s_at	24
222129_at	197.3
222128_at	11
222127_s_at	117.4
222126_at	92.7
222125_s_at	173.1
222124_at	19
222123_s_at	75.1
222122_s_at	185.9
222121_at	2.9
222120_at	24.2
222119_s_at	135.6
222118_at	20.6
222117_s_at	15.8
222116_s_at	4.7
222115_x_at	51.9
222114_x_at	16.3
222113_s_at	139
222112_at	5.6
222111_at	70.1
222110_at	64.5
222109_at	68.9
222108_at	95.5
222107_x_at	68.5
222106_at	79.7
222105_s_at	22
222104_x_at	156.1
222103_at	24.8
222102_at	14.4
222101_s_at	8.7
222100_at	2.5
222099_s_at	140
222098_s_at	29.5
222097_at	150
222096_x_at	31.8
222095_s_at	51.3
222094_at	85.2
222093_s_at	96.1
222092_at	41.9
222091_at	14.6
222090_at	5.2
222089_s_at	5.1
222088_s_at	281.8
222087_at	25.4
222086_s_at	2.2
222085_at	5
222084_s_at	9.6
222083_at	25
222082_at	162.3
222081_at	51.6
222080_s_at	75.3
