ID_REF	control_13_VALUE
37145_at	1335.4
37117_at	9.9
37079_at	4.8
37028_at	140.4
37022_at	24.2
37020_at	4.8
37012_at	880.8
37005_at	166.3
37004_at	51.8
36994_at	899
36936_at	123.2
36920_at	3.9
36907_at	891.4
36888_at	422.7
36865_at	71.5
36830_at	9.1
36829_at	211.4
36742_at	115.1
36711_at	93.4
36612_at	11.7
36566_at	109.4
36564_at	340.2
36554_at	183
36553_at	135.4
36552_at	80.9
36545_s_at	110.7
36499_at	59.7
36475_at	120.2
36129_at	486.2
36084_at	117.3
36030_at	257.2
36019_at	337.9
36004_at	350.9
35974_at	91.7
35846_at	20.5
35820_at	62.7
35776_at	167.6
35685_at	142.6
35671_at	315.9
35666_at	123.9
35626_at	139.1
35617_at	33.1
35436_at	39.8
35265_at	83
35254_at	224.8
35201_at	642.2
35179_at	17.8
35160_at	25.4
35156_at	105
35150_at	321.4
35148_at	25
35147_at	269.5
34868_at	57.9
34858_at	209.3
34846_at	252.2
34764_at	84.4
34726_at	7.7
34697_at	38.5
34689_at	308.9
34478_at	10.8
34471_at	26.4
34449_at	44
34408_at	75.7
34406_at	59.3
34260_at	15.2
34225_at	111.8
34221_at	134.2
34210_at	257.9
34206_at	198.4
34187_at	56.3
34063_at	23.2
34031_i_at	44.2
33850_at	9.6
33814_at	154.6
33778_at	449
33768_at	396.4
33767_at	7.3
33760_at	12.6
33736_at	66.8
33646_g_at	60.3
336_at	206.4
33579_i_at	57
33494_at	6
33323_r_at	202.1
33322_i_at	402.9
33307_at	53.8
33304_at	326.5
33197_at	42.8
33148_at	21.1
33132_at	62.2
32837_at	99.6
32836_at	289.7
32811_at	369.4
32723_at	23.9
32699_s_at	18.6
32625_at	33.5
32541_at	56.3
32540_at	70.3
32502_at	31.3
32402_s_at	23.4
32259_at	308.7
32209_at	330.1
32137_at	122.5
32128_at	13.5
32099_at	275.2
32094_at	82.4
32091_at	191.3
32088_at	2.1
32069_at	305.2
32062_at	43.9
32042_at	13.8
32032_at	198.1
32029_at	328.2
320_at	71.8
31874_at	100.2
31861_at	347.6
31846_at	100.4
31845_at	202.3
31837_at	371.5
31835_at	83.9
31826_at	288.8
31807_at	152
31799_at	7.3
31637_s_at	267.3
266_s_at	37.3
243_g_at	151.3
222384_at	3.5
222383_s_at	4.3
222382_x_at	56.7
222381_at	35.3
222380_s_at	484.1
222379_at	8.1
222378_at	46.1
222377_at	34.3
222376_at	67.9
222375_at	39.9
222374_at	65.6
222373_at	3.4
222372_at	6.4
222371_at	487.8
222370_x_at	123.5
222369_at	93.5
222368_at	337.8
222367_at	44.7
222366_at	91.7
222365_at	6.4
222364_at	40.1
222363_at	96.2
222362_at	15.4
222361_at	8.9
222360_at	2.1
222359_x_at	4.5
222358_x_at	187.4
222357_at	305
