ID_REF	pre_symp_4_VALUE
222014_x_at	35.2
222013_x_at	4.6
222012_at	13.4
222011_s_at	105.6
222010_at	50.6
222009_at	10.8
222008_at	6.7
222007_s_at	3.8
222006_at	42.7
222005_s_at	139.7
222004_s_at	5.2
222003_s_at	9.5
222002_at	2.9
222001_x_at	568.4
222000_at	125.3
221999_at	243.9
221998_s_at	186.5
221997_s_at	51.9
221996_s_at	13.2
221995_s_at	4.7
221994_at	45
221993_s_at	4
221992_at	32.2
221991_at	102.1
221990_at	79.5
221989_at	102.6
221988_at	144.7
221987_s_at	4.4
221986_s_at	5.5
221985_at	39.6
221984_s_at	593.5
221983_at	289.3
221982_x_at	20.2
221981_s_at	8.3
221980_at	106.8
221979_at	89.4
221978_at	411.6
221977_at	5.3
221976_s_at	2.6
221975_s_at	4
221974_at	6
221973_at	79.8
221972_s_at	9.5
221971_x_at	29.3
221970_s_at	164.6
221969_at	242.3
221968_s_at	15.9
221967_at	140.7
221966_at	13.2
221965_at	136.8
221964_at	6.9
221963_x_at	95.5
221962_s_at	18.1
221961_at	38.8
221960_s_at	158.8
221959_at	7.8
221958_s_at	43.2
221957_at	206.9
221956_at	24.7
221955_at	3.1
221954_at	151.8
221953_s_at	81.6
221952_x_at	883
221951_at	38.9
221950_at	12.4
221949_at	58.1
221948_s_at	10.8
221947_at	77.1
221946_at	4.7
221945_at	55.5
221944_at	11.5
221943_x_at	840.5
221942_s_at	195.6
221941_at	88.6
221940_at	56.9
221939_at	9.5
221938_x_at	99.3
221937_at	273.7
221936_x_at	55.7
221935_s_at	29.9
221934_s_at	193.7
221933_at	7.6
221932_s_at	381
221931_s_at	82.9
221930_at	64
221929_at	159.1
221928_at	5.2
221927_s_at	142.1
221926_s_at	16.7
221925_s_at	67.6
221924_at	68.6
221923_s_at	233.4
221922_at	66
221921_s_at	26.2
221920_s_at	973.5
221919_at	45.4
221918_at	68.8
221917_s_at	133.4
221916_at	73.9
221915_s_at	46.3
221914_at	7.7
221913_at	12.6
221912_s_at	110.3
221911_at	4.5
221910_at	93.6
221909_at	5.3
221908_at	35.3
221907_at	22.6
221906_at	13.9
221905_at	65.5
221904_at	95.3
221903_s_at	121.9
221902_at	55
221901_at	8.8
221900_at	2.8
221899_at	661.1
221898_at	46.6
221897_at	70
221896_s_at	135.7
221895_at	381.5
221894_at	5.2
221893_s_at	77.2
221892_at	18.7
221891_x_at	1068.4
221890_at	31
221889_at	22.8
221888_at	19.3
221887_s_at	18.6
221886_at	9
221885_at	5.2
221884_at	49.5
221883_at	14.8
221882_s_at	175.5
221881_s_at	21
221880_s_at	12.8
221879_at	78.1
221878_at	121.8
221877_at	23
221876_at	75.8
221875_x_at	5829.1
221874_at	67.3
221873_at	100.7
221872_at	5
221871_s_at	40.1
221870_at	27.4
221869_at	27.4
221868_at	17.8
221867_at	16.4
221866_at	103.7
