ID_REF	symp_8_VALUE
37462_i_at	79.5
37433_at	4.2
37425_g_at	19.6
37424_at	69.9
37408_at	163.3
37384_at	324.5
37278_at	165.2
37254_at	77.4
37232_at	47.7
37226_at	43.6
37201_at	39.5
37170_at	2
37152_at	25.2
37145_at	885.9
37117_at	3.1
37079_at	2
37028_at	136.8
37022_at	107.2
37020_at	4.2
37012_at	763.5
37005_at	149.4
37004_at	15.4
36994_at	914.9
36936_at	88.1
36920_at	34.9
36907_at	891.9
36888_at	159.1
36865_at	123
36830_at	7.2
36829_at	232.8
36742_at	13.4
36711_at	65.9
36612_at	12
36566_at	69.4
36564_at	295.9
36554_at	132.5
36553_at	118.9
36552_at	74.6
36545_s_at	49.5
36499_at	37.2
36475_at	105.3
36129_at	434.1
36084_at	75.7
36030_at	197.7
36019_at	273.4
36004_at	280.9
35974_at	273.6
35846_at	16.3
35820_at	16.4
35776_at	98.5
35685_at	221.2
35671_at	198.3
35666_at	98.9
35626_at	97.3
35617_at	50.3
35436_at	16
35265_at	85
35254_at	337.1
35201_at	765.7
35179_at	11.3
35160_at	16.7
35156_at	75.7
35150_at	267.1
35148_at	4.2
35147_at	208.4
34868_at	53.2
34858_at	227.4
34846_at	170.2
34764_at	44.9
34726_at	8.5
34697_at	8.4
34689_at	222.8
34478_at	2.6
34471_at	25.2
34449_at	29.1
34408_at	123.8
34406_at	41.4
34260_at	7.7
34225_at	109.5
34221_at	122
34210_at	767.8
34206_at	102.1
34187_at	16.2
34063_at	26.4
34031_i_at	36.5
33850_at	34.4
33814_at	162.9
33778_at	308
33768_at	286.3
33767_at	3.3
33760_at	9.5
33736_at	94.8
33646_g_at	6.6
336_at	202.4
33579_i_at	49.9
33494_at	7.1
33323_r_at	161.6
33322_i_at	372.9
33307_at	128
33304_at	379.8
33197_at	10.8
33148_at	35.2
33132_at	61.3
32837_at	167.2
32836_at	257.3
32811_at	237.4
32723_at	39.8
32699_s_at	169.5
32625_at	26.1
32541_at	79.1
32540_at	94.1
32502_at	52.8
32402_s_at	25.7
32259_at	157.1
32209_at	362.3
32137_at	77
32128_at	5.5
32099_at	178.4
32094_at	104.4
32091_at	254.6
32088_at	2.3
32069_at	252.3
32062_at	1.7
32042_at	6.7
32032_at	91.9
32029_at	169.9
320_at	15.2
31874_at	85.4
31861_at	261.4
31846_at	187.1
31845_at	180.6
31837_at	359.6
